,album,track_number,id,name,uri,release_date,album_popularity,image_url,duration_ms,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
0,Glory Sound Prep,1,1EAZ0APxPiVuzDb7R5TfVI,Conversations with my Wife,spotify:track:1EAZ0APxPiVuzDb7R5TfVI,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd068,206210,54,0.0222,0.496,0.487,1.85E-05,6,0.638,-7.003,1,0.0301,138.187,0.321
1,Glory Sound Prep,2,1eftOUoeMO1JkSQQmS6jXF,JT,spotify:track:1eftOUoeMO1JkSQQmS6jXF,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd069,268466,50,0.0168,0.518,0.587,1.19E-06,0,0.206,-7.937,1,0.12,98.367,0.631
2,Glory Sound Prep,3,2X1Tygc4uVunRgzNkFb1mG,"Let's Begin (feat. Roc Marciano, RZA, B.Keyz & Travis Mendes)",spotify:track:2X1Tygc4uVunRgzNkFb1mG,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd070,340522,44,0.29,0.647,0.749,1.19E-06,4,0.126,-5.056,0,0.42,91.902,0.585
3,Glory Sound Prep,4,7cK7hDrE7vAesPf8xd5zmb,Stupid Deep,spotify:track:7cK7hDrE7vAesPf8xd5zmb,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd071,178176,59,0.732,0.362,0.377,0.000631,2,0.127,-9.713,1,0.0339,137.891,0.294
4,Glory Sound Prep,5,359Q4gGdrQIFhRzs7J8gZu,The Internet,spotify:track:359Q4gGdrQIFhRzs7J8gZu,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd072,189492,49,0.106,0.767,0.792,1.02E-05,5,0.145,-5.053,0,0.225,119.168,0.699
5,Glory Sound Prep,6,4FUDWkguOUVpLRAVn5C20z,Blu,spotify:track:4FUDWkguOUVpLRAVn5C20z,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd073,183344,60,0.29,0.384,0.465,2.22E-05,0,0.359,-8.554,1,0.0341,131.604,0.636
6,Glory Sound Prep,7,7HKSWfpxHhllSmoLk9AQz8,Adult Swim (feat. Tuamie),spotify:track:7HKSWfpxHhllSmoLk9AQz8,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd074,313897,47,0.244,0.701,0.828,0,7,0.417,-5.606,1,0.297,89.988,0.651
7,Glory Sound Prep,8,7pMS0byKI7V1Mpl0SlWEDq,Couples Retreat,spotify:track:7pMS0byKI7V1Mpl0SlWEDq,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd075,208697,45,0.0118,0.347,0.672,0.000154,7,0.245,-6.661,1,0.52,195.225,0.565
8,Glory Sound Prep,9,6BbANlpji0u8ZlqyPVMQiM,Cautionary Tales,spotify:track:6BbANlpji0u8ZlqyPVMQiM,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd076,227207,49,0.0122,0.582,0.55,2.77E-05,7,0.128,-8.474,1,0.0448,94.087,0.696
9,Glory Sound Prep,10,1SefvAcZtoZo22njnX2qy7,Mah's Joint (feat. Quincy Jones),spotify:track:1SefvAcZtoZo22njnX2qy7,2018-11-09,60,https://i.scdn.co/image/ab67616d0000b273bc200956ba9de7303d8bd077,481590,44,0.317,0.271,0.474,0.000489,0,0.097,-9.718,1,0.0498,177.907,0.362
